MATCH_ID;SEASON;DATE_TIME;HOME_TEAM;AWAY_TEAM;STADIUM;HOME_TEAM_SCORE;AWAY_TEAM_SCORE;PENALTY_SHOOT_OUT;ATTENDANCE
mt1;2021-2022;2021-09-15 20:00:00;Manchester City;RB Leipzig;Etihad Stadium;6;3;0;38062
mt2;2021-2022;2021-09-15 20:00:00;Club Brugge KV;Paris Saint-Germain;Jan Breydel Stadion;1;1;0;27546
mt3;2021-2022;2021-09-28 20:00:00;Paris Saint-Germain;Manchester City;Parc des Princes;2;0;0;37350
mt4;2021-2022;2021-09-28 20:00:00;RB Leipzig;Club Brugge KV;Red Bull Arena;1;2;0;23500
mt5;2021-2022;2021-10-19 17:45:00;Club Brugge KV;Manchester City;Jan Breydel Stadion;1;5;0;24915
mt6;2021-2022;2021-10-19 20:00:00;Paris Saint-Germain;RB Leipzig;Parc des Princes;3;2;0;47359
mt7;2021-2022;2021-11-03 20:00:00;RB Leipzig;Paris Saint-Germain;Red Bull Arena;2;2;0;39794
mt8;2021-2022;2021-11-03 20:00:00;Manchester City;Club Brugge KV;Etihad Stadium;4;1;0;50228
mt9;2021-2022;2021-11-24 20:00:00;Manchester City;Paris Saint-Germain;Etihad Stadium;2;1;0;52030
mt10;2021-2022;2021-11-24 20:00:00;Club Brugge KV;RB Leipzig;Jan Breydel Stadion;0;5;0;24072
mt11;2021-2022;2021-12-07 17:45:00;RB Leipzig;Manchester City;Red Bull Arena;2;1;0;0
mt12;2021-2022;2021-12-07 17:45:00;Paris Saint-Germain;Club Brugge KV;Parc des Princes;4;1;0;47492
mt13;2021-2022;2021-09-15 20:00:00;Atl?tico Madrid;FC Porto;Wanda Metropolitano;0;0;0;40098
mt14;2021-2022;2021-09-15 20:00:00;Liverpool FC;AC Milan;Anfield;3;2;0;51445
mt15;2021-2022;2021-09-28 20:00:00;FC Porto;Liverpool FC;Est?dio do Drag?o;1;5;0;23520
mt16;2021-2022;2021-09-28 20:00:00;AC Milan;Atl?tico Madrid;Giuseppe Meazza;1;2;0;35374
mt17;2021-2022;2021-10-19 20:00:00;Atl?tico Madrid;Liverpool FC;Wanda Metropolitano;2;3;0;60725
mt18;2021-2022;2021-10-19 20:00:00;FC Porto;AC Milan;Est?dio do Drag?o;1;0;0;32130
mt19;2021-2022;2021-11-03 17:45:00;AC Milan;FC Porto;Giuseppe Meazza;1;1;0;39675
mt20;2021-2022;2021-11-03 20:00:00;Liverpool FC;Atl?tico Madrid;Anfield;2;0;0;51347
mt21;2021-2022;2021-11-24 20:00:00;Liverpool FC;FC Porto;Anfield;2;0;0;52209
mt22;2021-2022;2021-11-24 20:00:00;Atl?tico Madrid;AC Milan;Wanda Metropolitano;0;1;0;61019
mt23;2021-2022;2021-12-07 20:00:00;FC Porto;Atl?tico Madrid;Est?dio do Drag?o;1;3;0;38830
mt24;2021-2022;2021-12-07 20:00:00;AC Milan;Liverpool FC;Giuseppe Meazza;1;2;0;56237
mt25;2021-2022;2021-09-15 17:45:00;Be?ikta?;Borussia Dortmund;Vodafone Park;1;2;0;22445
mt26;2021-2022;2021-09-15 20:00:00;Sporting CP;AFC Ajax;Est?dio Jos? Alvalade;1;5;0;20382
mt27;2021-2022;2021-09-28 17:45:00;AFC Ajax;Be?ikta?;Johan Cruijff ArenA;2;0;0;52628
mt28;2021-2022;2021-09-28 20:00:00;Borussia Dortmund;Sporting CP;Signal Iduna Park;1;0;0;25000
mt29;2021-2022;2021-10-19 17:45:00;Be?ikta?;Sporting CP;Vodafone Park;1;4;0;22936
mt30;2021-2022;2021-10-19 20:00:00;AFC Ajax;Borussia Dortmund;Johan Cruijff ArenA;4;0;0;54029
mt31;2021-2022;2021-11-03 20:00:00;Borussia Dortmund;AFC Ajax;Signal Iduna Park;1;3;0;54820
mt32;2021-2022;2021-11-03 20:00:00;Sporting CP;Be?ikta?;Est?dio Jos? Alvalade;4;0;0;40835
mt33;2021-2022;2021-11-24 17:45:00;Be?ikta?;AFC Ajax;Vodafone Park;1;2;0;11712
mt34;2021-2022;2021-11-24 20:00:00;Sporting CP;Borussia Dortmund;Est?dio Jos? Alvalade;3;1;0;41341
mt35;2021-2022;2021-12-07 20:00:00;AFC Ajax;Sporting CP;Johan Cruijff ArenA;4;2;0;0
mt36;2021-2022;2021-12-07 20:00:00;Borussia Dortmund;Be?ikta?;Signal Iduna Park;5;0;0;15000
mt37;2021-2022;2021-09-15 17:45:00;FC Sheriff;Shakhtar Donetsk;Sheriff Stadium;2;0;0;5205
mt38;2021-2022;2021-09-15 20:00:00;Inter;Real Madrid;Giuseppe Meazza;0;1;0;37082
mt39;2021-2022;2021-09-28 17:45:00;Shakhtar Donetsk;Inter;Olimpiyskyi;0;0;0;26170
mt40;2021-2022;2021-09-28 20:00:00;Real Madrid;FC Sheriff;Santiago Bernab?u;1;2;0;24522
mt41;2021-2022;2021-10-19 20:00:00;Shakhtar Donetsk;Real Madrid;Olimpiyskyi;0;5;0;34037
mt42;2021-2022;2021-10-19 20:00:00;Inter;FC Sheriff;Giuseppe Meazza;3;1;0;43305
mt43;2021-2022;2021-11-03 17:45:00;Real Madrid;Shakhtar Donetsk;Santiago Bernab?u;2;1;0;38105
mt44;2021-2022;2021-11-03 20:00:00;FC Sheriff;Inter;Sheriff Stadium;1;3;0;5930
mt45;2021-2022;2021-11-24 17:45:00;Inter;Shakhtar Donetsk;Giuseppe Meazza;2;0;0;46225
